Customer Name,Email,Photo Type,Purchase Date,Month,City,Region,Country,Price USD,Payment Method,Referral Source,Customer Segment,Shoot Day,Shoot Time
Neil Singh,abigailfernandez@example.org,Event,2024-04-21,2024-04,Halifax,Nova Scotia,Canada,508.99,Cash,Google Search,Returning Customer,Thursday,19:00
Kelly Sherman,andrewzamora@example.net,Event,2024-05-11,2024-05,Edmonton,Alberta,Canada,558.18,Credit Card,Google Search,New Customer,Sunday,12:00
Raymond Barber,dennismckenzie@example.com,Portrait,2024-11-10,2024-11,San Francisco,California,United States,187.06,Apple Pay,Instagram,Returning Customer,Monday,13:00
Anthony Curtis,westashley@example.org,Event,2024-11-23,2024-11,Los Angeles,California,United States,1165.28,PayPal,Direct Visit,Business Client,Friday,12:00
Dr. Virginia Cunningham,michaelmitchell@example.net,Portrait,2024-09-20,2024-09,Montreal,Quebec,Canada,181.27,Credit Card,Referral,Business Client,Wednesday,16:30
James Mclaughlin,murphybrandi@example.com,Stock Photo License,2024-11-03,2024-11,St. Louis,Missouri,United States,54.06,Cash,Email Campaign,New Customer,Wednesday,15:00
Jeffery Jenkins,brownpamela@example.com,Product,2024-09-21,2024-09,Winnipeg,Manitoba,Canada,669.02,Bank Transfer,Referral,Business Client,Thursday,10:00
Michael Powell,lwiggins@example.com,Portrait,2024-06-25,2024-06,Little Rock,Arkansas,United States,128.95,Bank Transfer,Referral,Business Client,Thursday,13:00
Melissa Gould PhD,jcolon@example.net,Wedding,2024-11-26,2024-11,Kansas City,Missouri,United States,2548.95,Bank Transfer,Google Search,Business Client,Saturday,14:00
Beverly Bush,bensonstanley@example.org,Portrait,2024-05-24,2024-05,Seattle,Washington,United States,476.06,Cash,Email Campaign,Business Client,Friday,18:30
Jaclyn Crane,xrodriguez@example.net,Stock Photo License,2025-01-06,2025-01,Winnipeg,Manitoba,Canada,57.63,Apple Pay,Referral,Business Client,Wednesday,11:00
Autumn Torres,kevin70@example.org,Portrait,2024-07-22,2024-07,Idaho Falls,Idaho,United States,306.92,Cash,Referral,Business Client,Friday,16:30
Amber Shannon,jason70@example.org,Event,2024-05-30,2024-05,Little Rock,Arkansas,United States,531.63,Credit Card,Direct Visit,New Customer,Thursday,15:00
Andrew Olson,ariel56@example.com,Wedding,2024-10-25,2024-10,Chicago,Illinois,United States,1969.81,Bank Transfer,Google Search,New Customer,Saturday,14:00
Brandi Taylor,qgill@example.com,Product,2025-02-07,2025-02,Boston,Massachusetts,United States,348.59,Cash,Facebook,Returning Customer,Wednesday,14:00
Ann Weber,zhughes@example.com,Wedding,2024-06-01,2024-06,Victoria,British Columbia,Canada,3214.18,Bank Transfer,Facebook,Returning Customer,Saturday,19:00
Stacy Fitzgerald,clinejasmine@example.net,Event,2024-10-23,2024-10,New York City,New York,United States,1021.45,Apple Pay,Google Search,Returning Customer,Friday,19:00
Ellen Brewer,leechristine@example.net,Portrait,2024-11-24,2024-11,San Diego,California,United States,272.02,Apple Pay,Direct Visit,Business Client,Wednesday,16:30
Kelly Christensen,martinezsharon@example.org,Event,2025-01-10,2025-01,Idaho Falls,Idaho,United States,576.13,Cash,Facebook,Business Client,Thursday,15:00
Daniel Gallegos,imiller@example.net,Stock Photo License,2025-03-26,2025-03,New York City,New York,United States,40.91,Bank Transfer,Instagram,Returning Customer,Tuesday,15:00
Katherine Peck,samuel60@example.net,Product,2024-08-03,2024-08,Houston,Texas,United States,271.08,Bank Transfer,Direct Visit,Business Client,Thursday,10:00
Brian Garcia,justinwhite@example.org,Portrait,2024-08-02,2024-08,Los Angeles,California,United States,210.14,Credit Card,Google Search,New Customer,Friday,18:30
Meghan Brown,howard04@example.com,Event,2024-06-03,2024-06,Miami,Florida,United States,795.68,Credit Card,Facebook,New Customer,Thursday,12:00
Steven Scott,williamsjohn@example.net,Real Estate,2024-05-14,2024-05,Springfield,Illinois,United States,220.35,Credit Card,Direct Visit,Business Client,Thursday,13:30
Paul Cruz Jr.,floresangela@example.org,Wedding,2024-11-08,2024-11,Halifax,Nova Scotia,Canada,2230.25,PayPal,Facebook,Returning Customer,Friday,19:00
David Mercado,angela91@example.org,Portrait,2024-10-02,2024-10,San Diego,California,United States,209.56,Apple Pay,Facebook,Business Client,Wednesday,18:30
Beth Carroll,omiller@example.net,Wedding,2025-01-12,2025-01,Winnipeg,Manitoba,Canada,2496.71,Apple Pay,Instagram,Business Client,Saturday,17:00
Jacqueline Galloway,amandahenderson@example.net,Portrait,2024-06-21,2024-06,Austin,Texas,United States,366.81,Cash,Instagram,Business Client,Thursday,10:00
John Calderon,denise20@example.org,Wedding,2024-09-20,2024-09,San Diego,California,United States,2001.52,Credit Card,Direct Visit,Returning Customer,Saturday,19:00
Mr. Ryan James,megan39@example.net,Stock Photo License,2025-03-15,2025-03,Little Rock,Arkansas,United States,27.82,Apple Pay,Direct Visit,Returning Customer,Tuesday,17:00
Joseph Jones,fosterdavid@example.org,Real Estate,2024-07-19,2024-07,Spokane,Washington,United States,441.29,PayPal,Google Search,New Customer,Thursday,11:00
Dr. Christine Wagner PhD,cynthia74@example.org,Wedding,2024-12-29,2024-12,New York City,New York,United States,2316.23,Bank Transfer,Referral,Business Client,Saturday,17:00
Daniel Haley,allen20@example.net,Event,2024-12-06,2024-12,Los Angeles,California,United States,1082.66,PayPal,Instagram,Business Client,Saturday,12:00
Megan Gutierrez,ifarmer@example.org,Portrait,2024-09-29,2024-09,Vancouver,British Columbia,Canada,191.41,Apple Pay,Facebook,Business Client,Thursday,18:30
Angela Johnson,wchambers@example.com,Portrait,2025-01-21,2025-01,Seattle,Washington,United States,312.74,Cash,Direct Visit,Returning Customer,Wednesday,10:00
Christopher Tate,martinezmitchell@example.org,Wedding,2025-02-04,2025-02,St. Louis,Missouri,United States,1345.02,Bank Transfer,Instagram,New Customer,Saturday,19:00
Alejandro Campbell,james94@example.net,Wedding,2024-09-17,2024-09,Los Angeles,California,United States,1883.56,PayPal,Facebook,Business Client,Sunday,17:00
Tracy Johnson,tconway@example.net,Portrait,2024-06-27,2024-06,Albany,New York,United States,246.64,Apple Pay,Facebook,Returning Customer,Tuesday,16:30
Roberto Foster,ashley72@example.net,Product,2024-06-23,2024-06,San Francisco,California,United States,771.78,Credit Card,Facebook,Business Client,Friday,10:00
Megan Morrison,cameronanderson@example.org,Product,2024-06-17,2024-06,Buffalo,New York,United States,511.48,Apple Pay,Referral,Returning Customer,Wednesday,14:00
Savannah Ibarra,james08@example.net,Event,2024-05-24,2024-05,Miami,Florida,United States,1142.15,Bank Transfer,Direct Visit,New Customer,Saturday,12:00
Jordan Pace,nashmarcus@example.com,Product,2024-07-09,2024-07,Los Angeles,California,United States,438.82,Bank Transfer,Instagram,New Customer,Thursday,12:00
Julie Ward,stephensonjeffrey@example.com,Product,2024-07-17,2024-07,Halifax,Nova Scotia,Canada,232.36,Apple Pay,Facebook,New Customer,Thursday,10:00
Emily Myers,christopher90@example.net,Wedding,2025-03-10,2025-03,Fredericton,New Brunswick,Canada,2257.29,Bank Transfer,Google Search,New Customer,Sunday,19:00
Tina Stark,frankcollins@example.net,Portrait,2024-06-29,2024-06,Little Rock,Arkansas,United States,200.04,Cash,Email Campaign,New Customer,Wednesday,13:00
Jeffrey Johnson,mary31@example.com,Wedding,2024-11-22,2024-11,Little Rock,Arkansas,United States,2211.3,Bank Transfer,Referral,Business Client,Saturday,17:00
Anthony Cook,sherryparsons@example.net,Portrait,2024-07-04,2024-07,Edmonton,Alberta,Canada,265.64,Bank Transfer,Google Search,New Customer,Tuesday,10:00
Jeremy Martinez,rangelnicholas@example.net,Real Estate,2024-09-15,2024-09,Miami,Florida,United States,331.92,Bank Transfer,Email Campaign,New Customer,Wednesday,11:00
Thomas Ramos,cheryl61@example.org,Portrait,2024-05-01,2024-05,Fredericton,New Brunswick,Canada,281.07,Cash,Facebook,New Customer,Tuesday,10:00
Elizabeth James,williamsonrobert@example.net,Product,2024-12-11,2024-12,Los Angeles,California,United States,453.48,Apple Pay,Facebook,Business Client,Monday,12:00
Jody Marshall,nhobbs@example.org,Wedding,2025-01-21,2025-01,Boston,Massachusetts,United States,2110.97,Apple Pay,Referral,Occasional Buyer,Saturday,19:00
Rachel Gibson,briana11@example.org,Stock Photo License,2024-08-10,2024-08,Victoria,British Columbia,Canada,56.92,PayPal,Google Search,New Customer,Thursday,15:00
Richard Lee,danascott@example.com,Wedding,2024-11-11,2024-11,Winnipeg,Manitoba,Canada,2480.63,Bank Transfer,Instagram,Business Client,Friday,14:00
Charlene Taylor,brownlarry@example.com,Portrait,2024-10-01,2024-10,Quebec City,Quebec,Canada,184.59,PayPal,Direct Visit,New Customer,Friday,13:00
Heather Silva,dylanparker@example.com,Portrait,2024-10-12,2024-10,Seattle,Washington,United States,381.55,Apple Pay,Direct Visit,Occasional Buyer,Monday,16:30
Kelly Sandoval,brianhunter@example.net,Wedding,2024-07-23,2024-07,Miami,Florida,United States,2001.91,Bank Transfer,Google Search,New Customer,Saturday,14:00
Craig Gonzalez,kristenpeterson@example.net,Portrait,2025-02-16,2025-02,Boise,Idaho,United States,250.27,Apple Pay,Referral,New Customer,Monday,16:30
Julie Schwartz,christina65@example.org,Wedding,2024-09-29,2024-09,San Francisco,California,United States,2981.23,Credit Card,Email Campaign,New Customer,Saturday,19:00
Susan Crawford,fowlerheather@example.com,Event,2024-05-16,2024-05,Spokane,Washington,United States,731.81,Credit Card,Direct Visit,Business Client,Friday,15:00
Nicholas Cisneros,lindsay63@example.com,Wedding,2024-11-22,2024-11,Idaho Falls,Idaho,United States,1505.68,PayPal,Referral,Business Client,Saturday,19:00
Heidi Jones MD,thomasscott@example.net,Product,2024-06-14,2024-06,Houston,Texas,United States,288.34,Credit Card,Referral,Business Client,Monday,10:00
Amanda Johnson,justinrobinson@example.com,Event,2024-11-08,2024-11,Spokane,Washington,United States,1406.21,PayPal,Google Search,Business Client,Thursday,15:00
Julian White,thompsonjose@example.org,Wedding,2024-12-27,2024-12,Idaho Falls,Idaho,United States,1616.96,Credit Card,Facebook,New Customer,Saturday,14:00
Jamie Cobb,morganjason@example.com,Wedding,2024-04-15,2024-04,Boston,Massachusetts,United States,3341.66,PayPal,Email Campaign,New Customer,Saturday,11:00
Mary Pugh,ejohns@example.org,Wedding,2024-07-04,2024-07,Halifax,Nova Scotia,Canada,2523.61,Bank Transfer,Referral,Business Client,Saturday,19:00
Rebecca Lee,ubenson@example.net,Product,2024-05-30,2024-05,Boise,Idaho,United States,399.8,Credit Card,Referral,Occasional Buyer,Monday,10:00
Tammy Hines,melissaphillips@example.org,Event,2024-09-12,2024-09,San Francisco,California,United States,1376.68,PayPal,Instagram,New Customer,Saturday,19:00
Robert Salas,fclark@example.com,Product,2024-08-05,2024-08,Victoria,British Columbia,Canada,511.25,Cash,Instagram,Returning Customer,Tuesday,10:00
Carol Hughes,victor72@example.com,Product,2025-01-22,2025-01,Montreal,Quebec,Canada,203.2,Credit Card,Email Campaign,New Customer,Tuesday,14:00
Karen Sosa,zadams@example.net,Wedding,2024-12-24,2024-12,Calgary,Alberta,Canada,2024.69,Credit Card,Email Campaign,Returning Customer,Friday,17:00
Amanda Robinson,shannonyoung@example.org,Portrait,2025-03-11,2025-03,Miami,Florida,United States,189.5,Apple Pay,Google Search,New Customer,Thursday,13:00
Laura Walls,jonathan12@example.org,Portrait,2024-07-28,2024-07,Boston,Massachusetts,United States,194.33,Credit Card,Instagram,Business Client,Friday,18:30
Crystal Williams,ronald76@example.com,Event,2024-07-24,2024-07,Spokane,Washington,United States,1249.99,Apple Pay,Email Campaign,New Customer,Sunday,12:00
Mr. Alexander Alexander III,howardchristopher@example.net,Wedding,2024-08-20,2024-08,Halifax,Nova Scotia,Canada,2229.87,Cash,Email Campaign,New Customer,Saturday,11:00
Rachel House,wilsonmichael@example.net,Real Estate,2024-10-12,2024-10,Quebec City,Quebec,Canada,309.35,Cash,Google Search,New Customer,Thursday,11:00
Gary Turner,james92@example.net,Stock Photo License,2024-06-20,2024-06,Albany,New York,United States,80.66,PayPal,Instagram,Business Client,Friday,11:00
Alexa Evans,krista66@example.net,Product,2025-01-03,2025-01,Fredericton,New Brunswick,Canada,291.48,Bank Transfer,Direct Visit,Returning Customer,Monday,12:00
Matthew Hays,michelleperez@example.net,Product,2025-01-10,2025-01,Miami,Florida,United States,409.1,PayPal,Instagram,New Customer,Tuesday,10:00
Jose Hartman,dsharp@example.com,Wedding,2025-01-07,2025-01,St. Louis,Missouri,United States,2307.22,Bank Transfer,Google Search,New Customer,Sunday,17:00
Cole Carrillo,cclark@example.net,Wedding,2025-01-22,2025-01,Victoria,British Columbia,Canada,3233.18,PayPal,Referral,Returning Customer,Saturday,11:00
Shane Torres,porterdonna@example.com,Event,2024-04-19,2024-04,Fredericton,New Brunswick,Canada,414.24,PayPal,Instagram,New Customer,Friday,12:00
Michael Powell,mark09@example.org,Portrait,2024-08-10,2024-08,Austin,Texas,United States,151.81,Bank Transfer,Direct Visit,Business Client,Friday,10:00
Troy Rivera,nbaird@example.com,Wedding,2025-03-11,2025-03,Miami,Florida,United States,2948.88,Credit Card,Instagram,Business Client,Saturday,17:00
John Murphy,tfowler@example.org,Portrait,2024-05-01,2024-05,Kansas City,Missouri,United States,313.34,Credit Card,Google Search,New Customer,Friday,13:00
Cassandra Serrano,mjohnson@example.org,Wedding,2024-06-09,2024-06,Montreal,Quebec,Canada,2189.68,PayPal,Google Search,Occasional Buyer,Saturday,17:00
Daniel Carter,gibsonmiguel@example.org,Event,2025-03-07,2025-03,Little Rock,Arkansas,United States,688.26,Apple Pay,Google Search,Returning Customer,Sunday,15:00
Jennifer Moore,andersonrobert@example.net,Event,2024-06-09,2024-06,Seattle,Washington,United States,467.87,Cash,Instagram,Occasional Buyer,Saturday,12:00
Sharon Anderson,kylemeyers@example.net,Portrait,2024-05-03,2024-05,Edmonton,Alberta,Canada,316.94,Bank Transfer,Referral,New Customer,Friday,18:30
Teresa Matthews,ahill@example.org,Product,2024-09-28,2024-09,Winnipeg,Manitoba,Canada,387.12,Credit Card,Google Search,Returning Customer,Thursday,10:00
Lisa Wright,renee77@example.com,Portrait,2024-09-18,2024-09,Idaho Falls,Idaho,United States,156.71,PayPal,Email Campaign,New Customer,Monday,13:00
Donna Ibarra,treed@example.com,Portrait,2024-11-04,2024-11,Orlando,Florida,United States,229.45,PayPal,Google Search,Returning Customer,Wednesday,13:00
Sarah Perry,rachelquinn@example.com,Real Estate,2024-08-29,2024-08,Tampa,Florida,United States,358.71,Apple Pay,Referral,Returning Customer,Thursday,11:00
Melissa Davis,allenmonica@example.com,Portrait,2024-08-26,2024-08,Little Rock,Arkansas,United States,285.01,Credit Card,Direct Visit,Returning Customer,Tuesday,13:00
Mary Jones,reginajenkins@example.net,Event,2025-02-25,2025-02,Springfield,Illinois,United States,785.73,PayPal,Email Campaign,Occasional Buyer,Thursday,19:00
Pedro Gordon,robert24@example.org,Portrait,2024-05-22,2024-05,Idaho Falls,Idaho,United States,219.18,PayPal,Instagram,Business Client,Thursday,13:00
Benjamin Neal,vjames@example.com,Portrait,2024-10-10,2024-10,Idaho Falls,Idaho,United States,203.57,PayPal,Facebook,New Customer,Friday,10:00
Adam Wilson,markgoodman@example.com,Wedding,2025-02-15,2025-02,Springfield,Illinois,United States,2825.13,Apple Pay,Direct Visit,New Customer,Saturday,17:00
Matthew Reeves,rtaylor@example.org,Event,2024-09-23,2024-09,Dallas,Texas,United States,939.54,Cash,Instagram,New Customer,Sunday,12:00
Brian Phillips,qjackson@example.org,Wedding,2024-06-09,2024-06,Cambridge,Massachusetts,United States,2852.1,PayPal,Email Campaign,Business Client,Saturday,17:00
Hunter Robinson,staffordamanda@example.com,Portrait,2024-12-11,2024-12,Albany,New York,United States,346.63,Bank Transfer,Google Search,Business Client,Tuesday,13:00
Robin Davidson,myerskyle@example.org,Wedding,2024-12-19,2024-12,Kansas City,Missouri,United States,2400.72,Apple Pay,Referral,New Customer,Saturday,14:00
James Harris,nicholasallen@example.org,Wedding,2024-11-12,2024-11,Vancouver,British Columbia,Canada,3502.38,Bank Transfer,Google Search,New Customer,Friday,14:00
Adrian Hoover,walkernicole@example.net,Real Estate,2024-04-13,2024-04,Little Rock,Arkansas,United States,342.33,PayPal,Email Campaign,New Customer,Thursday,11:00
Jason Rodriguez,marcus39@example.org,Wedding,2024-06-08,2024-06,Boston,Massachusetts,United States,3295.88,Apple Pay,Facebook,New Customer,Saturday,11:00
Jeffrey Hall,kellyglenn@example.com,Event,2025-03-15,2025-03,Spokane,Washington,United States,380.27,Credit Card,Google Search,Business Client,Friday,19:00
Daniel Robinson,debra50@example.org,Portrait,2024-12-03,2024-12,Miami,Florida,United States,200.2,PayPal,Instagram,New Customer,Friday,13:00
Randall Porter,marquezkylie@example.net,Wedding,2025-02-26,2025-02,Albany,New York,United States,3333.92,Credit Card,Direct Visit,New Customer,Saturday,19:00
Lindsay Jarvis,xgregory@example.net,Portrait,2024-06-09,2024-06,San Francisco,California,United States,300.07,Cash,Referral,Business Client,Thursday,10:00
Philip Watts,bjones@example.net,Portrait,2024-05-26,2024-05,Tampa,Florida,United States,384.85,Apple Pay,Facebook,New Customer,Monday,10:00
Jorge Harmon,hallchristina@example.org,Wedding,2025-03-07,2025-03,Springfield,Illinois,United States,2739.24,Credit Card,Instagram,Occasional Buyer,Saturday,14:00
Nicole Harvey,taylorvictor@example.org,Wedding,2024-07-30,2024-07,Fredericton,New Brunswick,Canada,2094.71,Bank Transfer,Email Campaign,New Customer,Friday,17:00
Andrew Mclean,vstevenson@example.org,Event,2024-06-02,2024-06,Houston,Texas,United States,650.18,Credit Card,Email Campaign,New Customer,Saturday,15:00
Paige Meyer,swong@example.org,Portrait,2024-07-18,2024-07,Spokane,Washington,United States,322.98,Cash,Email Campaign,New Customer,Thursday,10:00
Grace Harris,knoxelizabeth@example.org,Event,2024-06-30,2024-06,Chicago,Illinois,United States,340.5,Credit Card,Referral,New Customer,Saturday,15:00
Courtney Salas,isaiah01@example.com,Wedding,2025-01-26,2025-01,Idaho Falls,Idaho,United States,1385.34,PayPal,Facebook,Returning Customer,Friday,14:00
Mark Thomas,davidthompson@example.net,Event,2024-05-03,2024-05,Dallas,Texas,United States,700.77,Credit Card,Referral,New Customer,Saturday,15:00
Cynthia Miller,ucollins@example.org,Real Estate,2025-02-06,2025-02,Cambridge,Massachusetts,United States,420.59,Bank Transfer,Referral,Returning Customer,Thursday,13:30
David Mitchell,mfaulkner@example.com,Product,2024-07-06,2024-07,Victoria,British Columbia,Canada,796.36,PayPal,Referral,Business Client,Wednesday,14:00
Dr. Ian Gray,galexander@example.net,Wedding,2025-02-17,2025-02,Boise,Idaho,United States,1871.21,Bank Transfer,Google Search,Returning Customer,Saturday,19:00
Sally Leon,gillronald@example.org,Wedding,2025-01-01,2025-01,Ottawa,Ontario,Canada,3373.92,Cash,Email Campaign,Occasional Buyer,Saturday,17:00
Linda Hernandez,jonathanford@example.com,Wedding,2025-01-10,2025-01,Cambridge,Massachusetts,United States,3204.41,Apple Pay,Instagram,New Customer,Saturday,11:00
Karen Cook,mgonzalez@example.org,Portrait,2024-07-20,2024-07,Boston,Massachusetts,United States,433.93,Bank Transfer,Instagram,New Customer,Thursday,10:00
Molly Henry,vbentley@example.com,Wedding,2024-04-12,2024-04,Halifax,Nova Scotia,Canada,1857.72,Credit Card,Direct Visit,Business Client,Saturday,19:00
William Jones,riddledavid@example.net,Product,2024-08-26,2024-08,Fredericton,New Brunswick,Canada,300.76,PayPal,Email Campaign,Business Client,Thursday,12:00
Tina Wise,william75@example.net,Portrait,2024-06-06,2024-06,Montreal,Quebec,Canada,224.23,Apple Pay,Email Campaign,Returning Customer,Monday,16:30
Jeff Wright,xjohnson@example.net,Portrait,2024-04-29,2024-04,Los Angeles,California,United States,457.36,Credit Card,Direct Visit,New Customer,Tuesday,10:00
Max Hernandez,jblackburn@example.com,Wedding,2024-12-22,2024-12,Spokane,Washington,United States,3557.33,Credit Card,Facebook,Business Client,Saturday,19:00
Mary Martin,wisedawn@example.com,Wedding,2024-07-07,2024-07,Orlando,Florida,United States,2137.21,Credit Card,Referral,New Customer,Saturday,14:00
Stephanie Stone,nancymartin@example.com,Real Estate,2024-08-31,2024-08,Miami,Florida,United States,335.5,PayPal,Instagram,Business Client,Monday,13:30
Walter Barrett,uwillis@example.com,Real Estate,2024-07-09,2024-07,Spokane,Washington,United States,488.58,Apple Pay,Email Campaign,Returning Customer,Friday,11:00
Sheila Rodriguez,lisa43@example.net,Event,2025-01-08,2025-01,Idaho Falls,Idaho,United States,873.38,Cash,Instagram,Returning Customer,Thursday,15:00
William Velasquez,daviskim@example.com,Portrait,2024-08-31,2024-08,Austin,Texas,United States,304.48,Cash,Google Search,Business Client,Friday,18:30
Morgan Jackson,jacob23@example.com,Real Estate,2024-10-17,2024-10,St. Louis,Missouri,United States,355.64,PayPal,Google Search,Returning Customer,Friday,09:30
Joanne Olsen,jamesbrady@example.org,Real Estate,2024-06-13,2024-06,Idaho Falls,Idaho,United States,410.06,Cash,Google Search,New Customer,Friday,11:00
Jennifer Sims,oneillgabriel@example.com,Portrait,2024-07-11,2024-07,Los Angeles,California,United States,228.85,PayPal,Direct Visit,Returning Customer,Monday,18:30
Austin Johnson,timothychambers@example.org,Event,2024-05-09,2024-05,Halifax,Nova Scotia,Canada,688.49,Credit Card,Direct Visit,New Customer,Friday,15:00
Tyler Ortega,davisalexa@example.org,Portrait,2024-04-11,2024-04,Miami,Florida,United States,264.39,Bank Transfer,Direct Visit,New Customer,Monday,18:30
Tonya Adams,vkennedy@example.net,Wedding,2024-08-23,2024-08,Chicago,Illinois,United States,2576.94,Credit Card,Email Campaign,Business Client,Saturday,14:00
Steve Key,shelleyortega@example.com,Wedding,2024-09-12,2024-09,Calgary,Alberta,Canada,2038.19,Cash,Google Search,Occasional Buyer,Saturday,19:00
Shelley Drake,bryantholly@example.net,Portrait,2024-11-17,2024-11,Albany,New York,United States,341.58,Bank Transfer,Facebook,Occasional Buyer,Tuesday,10:00
Allison Martinez,stephanie35@example.com,Event,2025-02-07,2025-02,Chicago,Illinois,United States,761.37,PayPal,Google Search,Returning Customer,Saturday,19:00
Karen Gutierrez,aaronlittle@example.com,Portrait,2024-11-20,2024-11,Winnipeg,Manitoba,Canada,241.99,Apple Pay,Google Search,New Customer,Thursday,18:30
Angel Aguirre,erica39@example.com,Event,2024-04-14,2024-04,Chicago,Illinois,United States,609.37,Cash,Email Campaign,Business Client,Thursday,12:00
Angela Patterson,shatfield@example.org,Product,2024-09-01,2024-09,Halifax,Nova Scotia,Canada,503.57,Credit Card,Instagram,Occasional Buyer,Monday,12:00
Cory Thomas,andersonlaura@example.com,Wedding,2025-01-01,2025-01,Ottawa,Ontario,Canada,2878.34,Credit Card,Referral,Business Client,Saturday,17:00
Victoria Owens DVM,olsonamber@example.org,Portrait,2025-02-06,2025-02,Boise,Idaho,United States,318.38,PayPal,Referral,New Customer,Monday,18:30
Mary Davis,bholder@example.org,Event,2024-06-24,2024-06,Boston,Massachusetts,United States,1192.02,Bank Transfer,Google Search,Returning Customer,Saturday,19:00
James Ramirez,elizabeth12@example.net,Portrait,2025-03-14,2025-03,Austin,Texas,United States,294.86,Cash,Email Campaign,New Customer,Wednesday,13:00
Robert Cook II,schneidernicholas@example.net,Portrait,2024-11-25,2024-11,Boise,Idaho,United States,253.37,Credit Card,Instagram,Business Client,Monday,18:30
Martha Glover,ostokes@example.com,Event,2025-01-04,2025-01,Houston,Texas,United States,777.35,Apple Pay,Google Search,New Customer,Thursday,12:00
Brandon Yang,juliewilson@example.com,Wedding,2024-05-20,2024-05,Dallas,Texas,United States,2852.03,PayPal,Facebook,Business Client,Saturday,17:00
James Mclaughlin,bryan83@example.com,Wedding,2024-05-24,2024-05,Austin,Texas,United States,2997.48,Credit Card,Google Search,New Customer,Saturday,19:00
Jacob Shelton,aprilguzman@example.org,Wedding,2025-04-01,2025-04,Chicago,Illinois,United States,2486.44,Apple Pay,Google Search,Returning Customer,Saturday,19:00
Samuel Stewart,mary77@example.org,Portrait,2024-05-17,2024-05,Vancouver,British Columbia,Canada,254.59,Apple Pay,Referral,New Customer,Tuesday,16:30
Maurice Solis,georgekyle@example.net,Wedding,2024-11-14,2024-11,Winnipeg,Manitoba,Canada,1755.32,PayPal,Facebook,New Customer,Friday,11:00
Michelle Mendoza DVM,ycarter@example.org,Portrait,2024-05-23,2024-05,Chicago,Illinois,United States,205.58,Apple Pay,Google Search,Returning Customer,Thursday,16:30
Ronald Clark,isabellawilliams@example.org,Real Estate,2025-04-02,2025-04,Fredericton,New Brunswick,Canada,203.31,Cash,Email Campaign,New Customer,Monday,09:30
Elizabeth Briggs,vickiekelley@example.com,Wedding,2025-02-15,2025-02,Halifax,Nova Scotia,Canada,2389.71,PayPal,Direct Visit,New Customer,Saturday,19:00
Gregory Myers,rosejustin@example.net,Wedding,2024-09-09,2024-09,Quebec City,Quebec,Canada,1796.38,Credit Card,Referral,New Customer,Saturday,19:00
Kimberly Davis,karen90@example.net,Wedding,2025-03-11,2025-03,Little Rock,Arkansas,United States,1368.96,Apple Pay,Referral,Occasional Buyer,Saturday,17:00
Laura Ramos,jcarter@example.org,Wedding,2024-07-28,2024-07,Winnipeg,Manitoba,Canada,1339.39,PayPal,Instagram,Occasional Buyer,Saturday,19:00
Nancy Smith,gregoryvanessa@example.org,Portrait,2024-06-26,2024-06,Houston,Texas,United States,249.54,PayPal,Instagram,Business Client,Thursday,18:30
Miss Carol Brown,terri20@example.org,Event,2024-08-23,2024-08,Little Rock,Arkansas,United States,818.98,Bank Transfer,Direct Visit,Business Client,Friday,12:00
Leslie Booker,hsanchez@example.org,Event,2025-04-01,2025-04,Quebec City,Quebec,Canada,705.85,Cash,Google Search,New Customer,Friday,15:00
Kyle Thompson,yparsons@example.net,Wedding,2024-08-31,2024-08,Boise,Idaho,United States,2483.1,Credit Card,Facebook,New Customer,Friday,14:00
Sharon Santos,cynthia75@example.org,Wedding,2024-12-05,2024-12,Tampa,Florida,United States,2986.56,Credit Card,Google Search,New Customer,Saturday,11:00
John Barnett,andrewberry@example.net,Wedding,2024-05-21,2024-05,Spokane,Washington,United States,2910.49,Bank Transfer,Email Campaign,Returning Customer,Friday,11:00
Anna Watkins,pwashington@example.net,Event,2024-09-30,2024-09,San Francisco,California,United States,969.14,Credit Card,Google Search,New Customer,Friday,15:00
Ariana Brown,richardhaynes@example.com,Wedding,2024-09-13,2024-09,Quebec City,Quebec,Canada,2453.35,Credit Card,Direct Visit,Returning Customer,Saturday,14:00
Robin Freeman,molinajared@example.net,Wedding,2024-10-28,2024-10,Kansas City,Missouri,United States,2221.41,Bank Transfer,Google Search,New Customer,Saturday,14:00
Kyle White,hmcbride@example.org,Wedding,2025-03-02,2025-03,Winnipeg,Manitoba,Canada,1507.88,Credit Card,Direct Visit,Occasional Buyer,Saturday,14:00
Christopher Hart,millerdavid@example.com,Event,2024-05-25,2024-05,Montreal,Quebec,Canada,534.92,Apple Pay,Direct Visit,Occasional Buyer,Sunday,12:00
Jenny Landry,wrightbrandon@example.net,Portrait,2024-08-19,2024-08,Ottawa,Ontario,Canada,219.52,Cash,Email Campaign,New Customer,Monday,10:00
Joseph Taylor,hneal@example.com,Event,2025-03-05,2025-03,San Francisco,California,United States,801.77,Bank Transfer,Referral,New Customer,Sunday,19:00
Melissa Bates,youngjacob@example.com,Real Estate,2024-11-15,2024-11,Winnipeg,Manitoba,Canada,87.86,Cash,Facebook,New Customer,Tuesday,11:00
Chad Arnold,joshua96@example.org,Event,2025-02-15,2025-02,Miami,Florida,United States,733.95,Credit Card,Google Search,New Customer,Saturday,15:00
